Timestamp[nanosec],gx[rad/s],gy[rad/s],gz[rad/s],ax[m/s^2],ay[m/s^2],az[m/s^2],Unix time[nanosec]
961749319947598,-0.0034621065,6.657897E-4,3.9947382E-4,0.335367,0.35213536,-9.620841,1657487980821000000
961749322454316,-0.002396843,0.0017310532,-6.657897E-4,0.335367,0.35213536,-9.620841,1657487980824000000
961749324960983,-2.6631588E-4,-0.0025300009,0.0025300009,0.27368343,0.3233896,-9.408242,1657487980827000000
961749327467702,-2.6631588E-4,-0.0035952644,0.0014647373,0.27368343,0.3233896,-9.408242,1657487980829000000
961749329974368,-0.0013315794,0.0038615803,3.9947382E-4,0.30722013,0.35213536,-9.720253,1657487980831000000
961749332481087,-0.002396843,0.0017310532,-6.657897E-4,0.35932177,0.32818055,-9.540592,1657487980835000000
961749334987754,-0.0013315794,-0.0014647373,-0.0017310532,0.35932177,0.32818055,-9.540592,1657487980837000000
961749337494473,0.0029294747,-0.006791055,-0.0017310532,0.24493769,0.28506196,-10.174196,1657487980838000000
961749340001139,7.9894764E-4,0.0027963168,0.0014647373,0.24493769,0.28506196,-10.174196,1657487980841000000
961749342507858,-0.0034621065,0.005992107,0.004660528,0.36411273,0.3138077,-9.620841,1657487980846000000
961749345014525,-0.0013315794,-3.9947382E-4,3.9947382E-4,0.3120111,0.3329715,-9.072875,1657487980847000000
961749347521243,0.0029294747,-0.007856319,-6.657897E-4,0.3120111,0.3329715,-9.072875,1657487980849000000
961749350027910,-2.6631588E-4,-0.0025300009,-0.0017310532,0.3120111,0.33776248,-10.211925,1657487980852000000
961749352534629,-0.0013315794,6.657897E-4,3.9947382E-4,0.3880675,0.34255344,-9.535801,1657487980854000000
961749355041296,7.9894764E-4,-3.9947382E-4,-6.657897E-4,0.3880675,0.34255344,-9.535801,1657487980854000000
961749357548014,0.0029294747,-0.0014647373,3.9947382E-4,0.25451958,0.34255344,-10.004117,1657487980859000000
961749360054681,-0.0013315794,-0.0014647373,3.9947382E-4,0.32099414,0.3329715,-10.282592,1657487980861000000
961749362561400,-0.0013315794,0.0017310532,3.9947382E-4,0.32099414,0.3329715,-10.282592,1657487980865000000
961749365068066,-0.0034621065,0.0017310532,-0.0017310532,0.31620318,0.3569263,-9.058502,1657487980866000000
961749367574785,0.0029294747,-0.0057257917,-0.0017310532,0.20181906,0.3473444,-10.329903,1657487980867000000
961749370081452,-2.6631588E-4,-0.004660528,3.9947382E-4,0.20181906,0.3473444,-10.329903,1657487980873000000
961749372588171,-0.0013315794,0.0017310532,3.9947382E-4,0.20181906,0.3473444,-10.329903,1657487980876000000
961749375094837,-0.0034621065,0.0038615803,-6.657897E-4,0.34494892,0.3473444,-9.233372,1657487980876000000
961749377601556,-2.6631588E-4,-0.0014647373,-0.0017310532,0.28326535,0.3473444,-9.7484,1657487980880000000
961749380108223,0.0029294747,-0.006791055,0.0014647373,0.28326535,0.3473444,-9.7484,1657487980880000000
961749382614941,0.0018642112,0.0017310532,0.0025300009,0.25931054,0.28506196,-10.112513,1657487980885000000
961749385121608,7.9894764E-4,0.0017310532,-6.657897E-4,0.3689037,0.3329715,-9.327993,1657487980886000000
961749387628327,0.0029294747,-0.0035952644,0.0035952644,0.28805628,0.36171725,-9.654377,1657487980889000000
961749390134993,7.9894764E-4,-0.0014647373,0.0025300009,0.28805628,0.3233896,-10.093947,1657487980891000000
961749392641712,-0.0034621065,0.0017310532,0.0014647373,0.30722013,0.27068907,-9.97058,1657487980893000000
961749395148379,-0.0055926335,0.0070573706,3.9947382E-4,0.30722013,0.27068907,-9.97058,1657487980900000000
961749397655098,-2.6631588E-4,0.0027963168,-0.0027963168,0.29284725,0.3808811,-9.507654,1657487980902000000
961749400161764,7.9894764E-4,-3.9947382E-4,3.9947382E-4,0.25931054,0.31859866,-10.027473,1657487980904000000
961749402668483,-0.0055926335,-0.0014647373,0.0025300009,0.33057603,0.3233896,-10.032264,1657487980907000000
961749405175150,-0.00452737,0.0027963168,0.0035952644,0.33057603,0.3233896,-10.032264,1657487980912000000
961749407681868,7.9894764E-4,6.657897E-4,0.0014647373,0.3545308,0.3233896,-9.422615,1657487980913000000
961749410188535,0.0029294747,-0.0014647373,-0.0017310532,0.30722013,0.31859866,-9.413033,1657487980913000000
961749412695254,-2.6631588E-4,-3.9947382E-4,-0.0017310532,0.28326535,0.3233896,-10.060411,1657487980913000000
961749415201921,-0.0013315794,0.0038615803,3.9947382E-4,0.34015796,0.32818055,-9.445971,1657487980916000000
961749417708639,0.0029294747,6.657897E-4,-0.0017310532,0.34015796,0.32818055,-9.445971,1657487980918000000
961749420215306,0.0029294747,-0.0025300009,-6.657897E-4,0.30722013,0.36171725,-9.332785,1657487980924000000
961749422722025,-0.002396843,-0.0025300009,-6.657897E-4,0.24493769,0.3329715,-9.932852,1657487980924000000
961749425228691,-2.6631588E-4,0.0049268436,0.0014647373,0.36411273,0.2994348,-9.512445,1657487980928000000
961749427735410,7.9894764E-4,-3.9947382E-4,0.0014647373,0.35932177,0.30422577,-9.360931,1657487980929000000
961749430242129,0.0018642112,-0.0025300009,0.0025300009,0.35932177,0.30422577,-9.360931,1657487980933000000
961749432748796,-0.002396843,-0.0014647373,3.9947382E-4,0.30722013,0.2994348,-9.932852,1657487980935000000
